Region;Hellenides
Country;Albania
#;2
Spring Name/Station Name;Blue Eye
Literature;Eftimi and Malik (2019)
Lat;39.552
Lon;20.113
Elev (m);152
Recharge Area (km2);400
Start Date;1.01.1968
End Date;31.12.1973
Resolution;Daily
Data Source;Romeo Eftimi
Data License;open data
Contact For License;Romeo Eftimi
Spring ID;HEL_02_AL
Date;Discharge m^3/s
29.08.1968;13.1
30.08.1968;13
31.08.1968;15.5
1.09.1968;12.7
2.09.1968;15.4
3.09.1968;13.7
4.09.1968;14
5.09.1968;13.4
6.09.1968;14
7.09.1968;12.9
8.09.1968;13.7
9.09.1968;14.2
10.09.1968;14.1
11.09.1968;12.7
12.09.1968;13.3
13.09.1968;12.7
14.09.1968;13.8
15.09.1968;13
16.09.1968;14.6
17.09.1968;15.3
18.09.1968;12.6
19.09.1968;13.4
20.09.1968;13.6
21.09.1968;12.8
22.09.1968;12.5
23.09.1968;13.9
24.09.1968;14
25.09.1968;12.8
26.09.1968;12.9
27.09.1968;14.5
28.09.1968;13.9
29.09.1968;12.7
30.09.1968;12.8
1.10.1968;11.5
2.10.1968;15.3
3.10.1968;14.2
4.10.1968;13.3
5.10.1968;13.7
6.10.1968;12.8
7.10.1968;10.8
8.10.1968;14
9.10.1968;13.6
10.10.1968;12.4
11.10.1968;11.7
12.10.1968;11.5
13.10.1968;11.2
14.10.1968;11
15.10.1968;12.9
16.10.1968;13
17.10.1968;12.3
18.10.1968;10.6
19.10.1968;10.8
20.10.1968;10.9
21.10.1968;13
22.10.1968;12.5
23.10.1968;12.5
24.10.1968;12.3
25.10.1968;11.7
26.10.1968;13.5
27.10.1968;10.8
28.10.1968;15.5
29.10.1968;11.7
30.10.1968;12.5
31.10.1968;12
1.11.1968;13.8
2.11.1968;12.2
3.11.1968;10.9
4.11.1968;12.8
5.11.1968;11.3
6.11.1968;11.5
7.11.1968;13.2
8.11.1968;14.4
9.11.1968;13.2
10.11.1968;11.5
11.11.1968;13.2
12.11.1968;13.1
13.11.1968;13.2
14.11.1968;17.9
15.11.1968;14.2
16.11.1968;14.9
17.11.1968;14.9
18.11.1968;16
19.11.1968;16.3
20.11.1968;16.1
21.11.1968;15.8
22.11.1968;15.6
23.11.1968;15.9
24.11.1968;17.9
25.11.1968;15.6
26.11.1968;16.3
27.11.1968;15.5
28.11.1968;14.6
29.11.1968;15.2
30.11.1968;15.3
1.12.1968;14.6
2.12.1968;14.7
3.12.1968;14.8
4.12.1968;16.5
5.12.1968;14.4
6.12.1968;14.5
7.12.1968;15.6
8.12.1968;14.3
9.12.1968;16
10.12.1968;16.1
11.12.1968;15.8
12.12.1968;17.6
13.12.1968;18.3
14.12.1968;17.3
15.12.1968;18.1
16.12.1968;16.9
17.12.1968;16.6
18.12.1968;15.8
19.12.1968;19.3
20.12.1968;20.4
21.12.1968;21.4
22.12.1968;17.8
23.12.1968;21.2
24.12.1968;18.9
25.12.1968;19.1
26.12.1968;19.6
27.12.1968;19.8
28.12.1968;17.2
29.12.1968;18.3
30.12.1968;17.7
31.12.1968;18.9
1.01.1969;16.8
2.01.1969;20.9
3.01.1969;21.1
4.01.1969;19.3
5.01.1969;19.4
6.01.1969;19.5
7.01.1969;19.3
8.01.1969;19.1
9.01.1969;20.2
10.01.1969;17.8
11.01.1969;20.6
12.01.1969;18.4
13.01.1969;20.8
14.01.1969;19.7
15.01.1969;20.5
16.01.1969;22
17.01.1969;19.3
18.01.1969;20.3
19.01.1969;25
20.01.1969;17.3
21.01.1969;21.2
22.01.1969;20.6
23.01.1969;20.7
24.01.1969;19.9
25.01.1969;20.3
26.01.1969;19.5
27.01.1969;21.2
28.01.1969;19.5
29.01.1969;20
30.01.1969;19.1
31.01.1969;19.9
1.02.1969;19.4
2.02.1969;18.9
3.02.1969;16.5
4.02.1969;19.6
5.02.1969;21
6.02.1969;21.3
7.02.1969;21.6
8.02.1969;20.5
9.02.1969;17.8
10.02.1969;21.5
11.02.1969;20.9
12.02.1969;21.2
13.02.1969;20.8
14.02.1969;23.1
15.02.1969;22.9
16.02.1969;22.8
17.02.1969;24.2
18.02.1969;22.9
19.02.1969;23.8
20.02.1969;22.8
21.02.1969;22.3
22.02.1969;23.3
23.02.1969;21.5
24.02.1969;23
25.02.1969;23.9
26.02.1969;22.9
27.02.1969;23.8
28.02.1969;23.5
1.03.1969;22.9
2.03.1969;22.7
3.03.1969;23.4
4.03.1969;22.8
5.03.1969;24
6.03.1969;24
7.03.1969;25
8.03.1969;24
9.03.1969;23.8
10.03.1969;24.2
11.03.1969;23.5
12.03.1969;20.7
13.03.1969;21.5
14.03.1969;22.6
15.03.1969;22.8
16.03.1969;23.6
17.03.1969;23
18.03.1969;23.4
19.03.1969;22.8
20.03.1969;23
21.03.1969;22.6
22.03.1969;23
23.03.1969;23.9
24.03.1969;23.6
25.03.1969;21.7
26.03.1969;22.4
27.03.1969;23.1
28.03.1969;23.1
29.03.1969;23
30.03.1969;23.4
31.03.1969;20.8
1.04.1969;22.6
2.04.1969;22.7
3.04.1969;22.7
4.04.1969;20.2
5.04.1969;22
6.04.1969;20.9
7.04.1969;23.2
8.04.1969;21.9
9.04.1969;21.9
10.04.1969;20.9
11.04.1969;21
12.04.1969;23.5
13.04.1969;18.8
14.04.1969;22.4
15.04.1969;21.4
16.04.1969;20
17.04.1969;21.5
18.04.1969;20.7
19.04.1969;21.6
20.04.1969;20.7
21.04.1969;21.6
22.04.1969;21.2
23.04.1969;21.6
24.04.1969;20.6
25.04.1969;21.5
26.04.1969;21.9
27.04.1969;21.8
28.04.1969;22
29.04.1969;20.8
30.04.1969;19.5
1.05.1969;18.2
2.05.1969;19.8
3.05.1969;21.3
4.05.1969;20.3
5.05.1969;20.8
6.05.1969;20.7
7.05.1969;21.1
8.05.1969;20.2
9.05.1969;21.9
10.05.1969;21.5
11.05.1969;21.2
12.05.1969;20
13.05.1969;20.5
14.05.1969;22.5
15.05.1969;21.2
16.05.1969;22.6
17.05.1969;19.8
18.05.1969;16.6
19.05.1969;20.2
20.05.1969;19.9
21.05.1969;20.1
22.05.1969;20.6
23.05.1969;20.3
24.05.1969;21.1
25.05.1969;17.5
26.05.1969;21.3
27.05.1969;17.8
28.05.1969;20.6
29.05.1969;20.3
30.05.1969;20.3
31.05.1969;19.7
1.06.1969;17.5
2.06.1969;15.6
3.06.1969;17.3
4.06.1969;17.1
5.06.1969;17.6
6.06.1969;17
7.06.1969;17.8
8.06.1969;17.6
9.06.1969;17.5
10.06.1969;17.9
11.06.1969;16.6
12.06.1969;15.6
13.06.1969;17.2
14.06.1969;16
15.06.1969;18.9
16.06.1969;15.4
17.06.1969;17.6
18.06.1969;16.1
19.06.1969;16.3
20.06.1969;16.4
21.06.1969;18.1
22.06.1969;15.2
23.06.1969;15.1
24.06.1969;16.1
25.06.1969;15.8
26.06.1969;16.5
27.06.1969;16.5
28.06.1969;16.1
29.06.1969;16.7
30.06.1969;16.7
1.07.1969;17.8
2.07.1969;17.7
3.07.1969;17.9
4.07.1969;17.6
5.07.1969;17.7
6.07.1969;17
7.07.1969;21.9
8.07.1969;19.8
9.07.1969;17.6
10.07.1969;19.6
11.07.1969;17.3
12.07.1969;16.4
13.07.1969;17.2
14.07.1969;17.7
15.07.1969;17.5
16.07.1969;16.8
17.07.1969;16.7
18.07.1969;17.5
19.07.1969;21.6
20.07.1969;20.1
21.07.1969;19.1
22.07.1969;15.5
23.07.1969;17
24.07.1969;16.6
25.07.1969;17.8
26.07.1969;16.7
27.07.1969;16.9
28.07.1969;17
29.07.1969;16.4
30.07.1969;16.6
31.07.1969;16.2
1.08.1969;16.2
2.08.1969;16.3
3.08.1969;15.8
4.08.1969;16.1
5.08.1969;15.3
6.08.1969;16.2
7.08.1969;16.5
8.08.1969;15.5
9.08.1969;16
10.08.1969;15.2
11.08.1969;19.2
12.08.1969;16.6
13.08.1969;17.6
14.08.1969;13.5
15.08.1969;14.5
16.08.1969;21.2
17.08.1969;15.5
18.08.1969;14.9
19.08.1969;17.1
20.08.1969;14.9
21.08.1969;15
22.08.1969;16.4
23.08.1969;15.2
24.08.1969;14.6
25.08.1969;15.3
26.08.1969;15.2
27.08.1969;15.4
28.08.1969;16.4
29.08.1969;15
30.08.1969;15.1
31.08.1969;18
1.09.1969;15.3
2.09.1969;15.2
3.09.1969;14.2
4.09.1969;14.7
5.09.1969;14.4
6.09.1969;14.9
7.09.1969;13.8
8.09.1969;16.3
9.09.1969;16.3
10.09.1969;14.5
11.09.1969;14.5
12.09.1969;17.2
13.09.1969;17.5
14.09.1969;17.3
15.09.1969;17
16.09.1969;16.3
17.09.1969;15.8
18.09.1969;15.9
19.09.1969;15.8
20.09.1969;20.9
21.09.1969;13.7
22.09.1969;15
23.09.1969;16.5
24.09.1969;13.5
25.09.1969;15.6
26.09.1969;12.6
27.09.1969;16.5
28.09.1969;15.4
29.09.1969;13.7
30.09.1969;16.6
1.10.1969;14.3
2.10.1969;15.8
3.10.1969;15.4
4.10.1969;16.5
5.10.1969;16
6.10.1969;15.6
7.10.1969;13.4
8.10.1969;15.4
9.10.1969;14.1
10.10.1969;15.2
11.10.1969;17.5
12.10.1969;14.5
13.10.1969;14.5
14.10.1969;15.3
15.10.1969;20.9
16.10.1969;14.2
17.10.1969;14.8
18.10.1969;14.4
19.10.1969;15.4
20.10.1969;15.8
21.10.1969;15.4
22.10.1969;15.1
23.10.1969;15.3
24.10.1969;13.8
25.10.1969;14.2
26.10.1969;14.8
27.10.1969;15
28.10.1969;14.8
29.10.1969;15
30.10.1969;14.3
31.10.1969;14.7
1.11.1969;15.3
2.11.1969;13.4
3.11.1969;13.9
4.11.1969;14.4
5.11.1969;15.6
6.11.1969;13.5
7.11.1969;13.5
8.11.1969;14.3
9.11.1969;14.7
10.11.1969;14.4
11.11.1969;15.9
12.11.1969;15.2
13.11.1969;14.7
14.11.1969;17
15.11.1969;13.2
16.11.1969;14.5
17.11.1969;14.3
18.11.1969;15.7
19.11.1969;14.5
20.11.1969;16.5
21.11.1969;17.6
22.11.1969;13.1
23.11.1969;15.2
24.11.1969;14.8
25.11.1969;14.9
26.11.1969;17.1
27.11.1969;17.6
28.11.1969;17.8
29.11.1969;17.9
30.11.1969;18.5
1.12.1969;18.5
2.12.1969;19.1
3.12.1969;20.3
4.12.1969;18.3
5.12.1969;17.4
6.12.1969;22.8
7.12.1969;22.9
8.12.1969;24.2
9.12.1969;24.2
10.12.1969;23.6
11.12.1969;24.1
12.12.1969;23.8
13.12.1969;24.9
14.12.1969;22.7
15.12.1969;22.8
16.12.1969;22.1
17.12.1969;23.2
18.12.1969;21.9
19.12.1969;23.3
20.12.1969;23.7
21.12.1969;14.4
22.12.1969;22.2
23.12.1969;23.4
24.12.1969;22
25.12.1969;22.3
26.12.1969;21.1
27.12.1969;22.8
28.12.1969;20.6
29.12.1969;23.3
30.12.1969;21.4
31.12.1969;23.3
1.01.1970;20.5
2.01.1970;23.8
3.01.1970;20
4.01.1970;22.9
5.01.1970;23.2
6.01.1970;23.1
7.01.1970;24.1
8.01.1970;22.6
9.01.1970;25.3
10.01.1970;22
11.01.1970;23.2
12.01.1970;24.4
13.01.1970;22.2
14.01.1970;24.2
15.01.1970;24.5
16.01.1970;23.4
17.01.1970;23.6
18.01.1970;21
19.01.1970;24.3
20.01.1970;23.6
21.01.1970;22.9
22.01.1970;22.7
23.01.1970;23.1
24.01.1970;23.1
25.01.1970;23.1
26.01.1970;21.4
27.01.1970;22
28.01.1970;22.1
29.01.1970;22
30.01.1970;20.6
31.01.1970;23.1
1.02.1970;21.1
2.02.1970;23.4
3.02.1970;22.5
4.02.1970;21.7
5.02.1970;23
6.02.1970;15.7
7.02.1970;22.5
8.02.1970;22.2
9.02.1970;22.5
10.02.1970;18.3
11.02.1970;21.3
12.02.1970;21.7
13.02.1970;22
14.02.1970;21.8
15.02.1970;22.1
16.02.1970;22.7
17.02.1970;23.2
18.02.1970;22
19.02.1970;23.1
20.02.1970;22.7
21.02.1970;21.9
22.02.1970;21.9
23.02.1970;22.4
24.02.1970;23.1
25.02.1970;22.1
26.02.1970;23.1
27.02.1970;25.6
28.02.1970;21.8
1.03.1970;21.4
2.03.1970;18.7
3.03.1970;22.4
4.03.1970;22
5.03.1970;21.5
6.03.1970;21.9
7.03.1970;22.4
8.03.1970;18.4
9.03.1970;22.8
10.03.1970;22.5
11.03.1970;22.3
12.03.1970;22.6
13.03.1970;22.9
14.03.1970;22.3
15.03.1970;21.8
16.03.1970;23.5
17.03.1970;23.2
18.03.1970;22.2
19.03.1970;21.2
20.03.1970;22.1
21.03.1970;22.9
22.03.1970;22.2
23.03.1970;21.7
24.03.1970;23.4
25.03.1970;21.9
26.03.1970;17.8
27.03.1970;23
28.03.1970;22.2
29.03.1970;20
30.03.1970;22.5
31.03.1970;21.9
1.04.1970;21.8
2.04.1970;18.4
3.04.1970;21
4.04.1970;22.1
5.04.1970;21.7
6.04.1970;21
7.04.1970;21.5
8.04.1970;13.1
9.04.1970;13.5
10.04.1970;23
11.04.1970;22
12.04.1970;21.5
13.04.1970;21.1
14.04.1970;21.5
15.04.1970;23.1
16.04.1970;22.3
17.04.1970;22.4
18.04.1970;22.8
19.04.1970;22.4
20.04.1970;22.5
21.04.1970;22
22.04.1970;21.3
23.04.1970;21.4
24.04.1970;21.4
25.04.1970;21.3
26.04.1970;19.4
27.04.1970;21.9
28.04.1970;21.1
29.04.1970;21.1
30.04.1970;21.3
1.05.1970;19.1
2.05.1970;21.7
3.05.1970;21.2
4.05.1970;19.7
5.05.1970;21.6
6.05.1970;19.6
7.05.1970;20.8
8.05.1970;20.2
9.05.1970;19.4
10.05.1970;20.5
11.05.1970;20.9
12.05.1970;20.2
13.05.1970;19.4
14.05.1970;20.9
15.05.1970;19
16.05.1970;21.8
17.05.1970;18
18.05.1970;20.2
19.05.1970;19.7
20.05.1970;18.9
21.05.1970;19.9
22.05.1970;20.8
23.05.1970;20.2
24.05.1970;19.9
25.05.1970;19.9
26.05.1970;20.4
27.05.1970;20.5
28.05.1970;21.9
29.05.1970;19.8
30.05.1970;19.6
31.05.1970;20
1.06.1970;19.1
2.06.1970;19.6
3.06.1970;20.1
4.06.1970;17.6
5.06.1970;19.9
6.06.1970;19.2
7.06.1970;18.1
8.06.1970;19.8
9.06.1970;19
10.06.1970;16.8
11.06.1970;21.5
12.06.1970;18.8
13.06.1970;18.9
14.06.1970;18.6
15.06.1970;19.2
16.06.1970;19
17.06.1970;17.8
18.06.1970;19.3
19.06.1970;19.2
20.06.1970;17.9
21.06.1970;17.7
22.06.1970;18.4
23.06.1970;18
24.06.1970;18.5
25.06.1970;18.8
26.06.1970;18.3
27.06.1970;21.8
28.06.1970;15.6
29.06.1970;18.7
30.06.1970;18
1.07.1970;17.6
2.07.1970;18.1
3.07.1970;17.7
4.07.1970;16.2
5.07.1970;16.8
6.07.1970;18.3
7.07.1970;16.3
8.07.1970;18.3
9.07.1970;17.8
10.07.1970;17.1
11.07.1970;16.7
12.07.1970;15.4
13.07.1970;17.7
14.07.1970;17.3
15.07.1970;17.4
16.07.1970;16.5
17.07.1970;18
18.07.1970;17.2
19.07.1970;16.7
20.07.1970;17.6
21.07.1970;17.6
22.07.1970;14.9
23.07.1970;15.4
24.07.1970;16.4
25.07.1970;16.4
26.07.1970;16.7
27.07.1970;16.9
28.07.1970;17
29.07.1970;15.8
30.07.1970;15.8
31.07.1970;15.5
1.08.1970;16.5
2.08.1970;16.2
3.08.1970;16.1
4.08.1970;16.1
5.08.1970;16
6.08.1970;18.3
7.08.1970;20.7
8.08.1970;16
9.08.1970;17.2
10.08.1970;15
11.08.1970;16.3
12.08.1970;15.5
13.08.1970;15.9
14.08.1970;15.3
15.08.1970;16
16.08.1970;16.2
17.08.1970;15.7
18.08.1970;15.3
19.08.1970;16.3
20.08.1970;14
21.08.1970;15.6
22.08.1970;15.7
23.08.1970;15.4
24.08.1970;13.8
25.08.1970;13.9
26.08.1970;15
27.08.1970;15.1
28.08.1970;15.5
29.08.1970;15.6
30.08.1970;15.9
31.08.1970;15.7
1.09.1970;15.4
2.09.1970;15.4
3.09.1970;15.1
4.09.1970;14
5.09.1970;15
6.09.1970;15.6
7.09.1970;15.5
8.09.1970;15.6
9.09.1970;15.3
10.09.1970;15.5
11.09.1970;15.4
12.09.1970;15.7
13.09.1970;15
14.09.1970;15.1
15.09.1970;15.2
16.09.1970;15.2
17.09.1970;14.6
18.09.1970;14.1
19.09.1970;14.5
20.09.1970;14.9
21.09.1970;15.3
22.09.1970;13.1
23.09.1970;18
24.09.1970;21.8
25.09.1970;15.2
26.09.1970;14.5
27.09.1970;13.5
28.09.1970;14.7
29.09.1970;16.6
30.09.1970;15.6
1.10.1970;15.5
2.10.1970;14.4
3.10.1970;16.7
4.10.1970;14
5.10.1970;16
6.10.1970;14.9
7.10.1970;15.1
8.10.1970;14.8
9.10.1970;15.4
10.10.1970;16.1
11.10.1970;15.5
12.10.1970;15.2
13.10.1970;15
14.10.1970;14.9
15.10.1970;14.1
16.10.1970;16.2
17.10.1970;16.8
18.10.1970;13.8
19.10.1970;14
20.10.1970;16
21.10.1970;15.5
22.10.1970;21.8
23.10.1970;17.8
24.10.1970;17.8
25.10.1970;16
26.10.1970;15.9
27.10.1970;15.6
28.10.1970;16.7
29.10.1970;17.1
30.10.1970;15.5
31.10.1970;14.3
1.11.1970;15.3
2.11.1970;15.9
3.11.1970;15.2
4.11.1970;15.5
5.11.1970;15
6.11.1970;16
7.11.1970;15.2
8.11.1970;16.4
9.11.1970;15.4
10.11.1970;14.5
11.11.1970;16.2
12.11.1970;15.5
13.11.1970;15.3
14.11.1970;16.8
15.11.1970;15.3
16.11.1970;16.3
17.11.1970;15.7
18.11.1970;16.8
19.11.1970;16.6
20.11.1970;16.8
21.11.1970;17
22.11.1970;15.8
23.11.1970;17.6
24.11.1970;18.8
25.11.1970;16.5
26.11.1970;17.9
27.11.1970;17
28.11.1970;16.6
29.11.1970;16.3
30.11.1970;16.1
1.12.1970;16.4
2.12.1970;16.2
3.12.1970;17.2
4.12.1970;16.6
5.12.1970;16.9
6.12.1970;17.9
7.12.1970;16.8
8.12.1970;16.5
9.12.1970;16.4
10.12.1970;16
11.12.1970;16.8
12.12.1970;22.9
13.12.1970;16
14.12.1970;22.8
15.12.1970;15.7
16.12.1970;15.3
17.12.1970;17.1
18.12.1970;14.4
19.12.1970;15.2
20.12.1970;14.9
21.12.1970;16
22.12.1970;15.2
23.12.1970;15.4
24.12.1970;14.9
25.12.1970;16.3
26.12.1970;16.4
27.12.1970;13.9
28.12.1970;18.2
29.12.1970;16.4
30.12.1970;16.6
31.12.1970;19.2
1.01.1971;19.3
2.01.1971;22.7
3.01.1971;23.2
4.01.1971;16.1
5.01.1971;22.6
6.01.1971;21.4
7.01.1971;22
8.01.1971;22
9.01.1971;21.2
10.01.1971;20.5
11.01.1971;22.1
12.01.1971;19.9
13.01.1971;20.9
14.01.1971;19.5
15.01.1971;20.6
16.01.1971;17.7
17.01.1971;19.5
18.01.1971;19.3
19.01.1971;19.8
20.01.1971;19.7
21.01.1971;22.9
22.01.1971;19.9
23.01.1971;20.6
24.01.1971;22.4
25.01.1971;22.6
26.01.1971;21.2
27.01.1971;21.9
28.01.1971;20.6
29.01.1971;22.8
30.01.1971;21.2
31.01.1971;20.6
1.02.1971;21.9
2.02.1971;21.2
3.02.1971;20
4.02.1971;20.2
5.02.1971;20.7
6.02.1971;20.9
7.02.1971;11.9
8.02.1971;21.5
9.02.1971;19.6
10.02.1971;18.9
11.02.1971;19.3
12.02.1971;19.6
13.02.1971;20.1
14.02.1971;20.5
15.02.1971;20.3
16.02.1971;19
17.02.1971;20.1
18.02.1971;19.3
19.02.1971;19.4
20.02.1971;20.2
21.02.1971;20.1
22.02.1971;20.6
23.02.1971;22.1
24.02.1971;19.4
25.02.1971;20.4
26.02.1971;20.7
27.02.1971;20
28.02.1971;16.7
1.03.1971;16
2.03.1971;18.2
3.03.1971;20
4.03.1971;20
5.03.1971;20.3
6.03.1971;20.2
7.03.1971;20
8.03.1971;20.1
9.03.1971;21.2
10.03.1971;20.9
11.03.1971;21.5
12.03.1971;21.4
13.03.1971;20.9
14.03.1971;21.5
15.03.1971;21.9
16.03.1971;21.1
17.03.1971;21.2
18.03.1971;21.3
19.03.1971;21.2
20.03.1971;20.2
21.03.1971;20.7
22.03.1971;21.2
23.03.1971;21.1
24.03.1971;21.5
25.03.1971;21.6
26.03.1971;21.5
27.03.1971;21.8
28.03.1971;21.3
29.03.1971;21.2
30.03.1971;22
31.03.1971;23.1
1.04.1971;21.6
2.04.1971;21.4
3.04.1971;22.4
4.04.1971;21.4
5.04.1971;22.3
6.04.1971;22.2
7.04.1971;20.9
8.04.1971;22.4
9.04.1971;22.4
10.04.1971;22.1
11.04.1971;21.8
12.04.1971;21.4
13.04.1971;21.7
14.04.1971;21.5
15.04.1971;21.6
16.04.1971;20.4
17.04.1971;20.7
18.04.1971;21.7
19.04.1971;21.9
20.04.1971;17.5
21.04.1971;20.4
22.04.1971;16.8
23.04.1971;20.7
24.04.1971;20.3
25.04.1971;20.2
26.04.1971;21.7
27.04.1971;20.6
28.04.1971;19.8
29.04.1971;18
30.04.1971;17.9
1.05.1971;16.7
2.05.1971;15.1
3.05.1971;19.9
4.05.1971;20.7
5.05.1971;20.3
6.05.1971;19.8
7.05.1971;20.5
8.05.1971;20.2
9.05.1971;20.1
10.05.1971;18.5
11.05.1971;19.8
12.05.1971;20
13.05.1971;18.9
14.05.1971;19.3
15.05.1971;19.6
16.05.1971;18.5
17.05.1971;19.6
18.05.1971;18.3
19.05.1971;19
20.05.1971;18.5
21.05.1971;19.3
22.05.1971;19.1
23.05.1971;18.6
24.05.1971;19.3
25.05.1971;18.5
26.05.1971;18.6
27.05.1971;18.8
28.05.1971;18.6
29.05.1971;18.6
30.05.1971;18.7
31.05.1971;19.2
1.06.1971;18
2.06.1971;19.2
3.06.1971;18.2
4.06.1971;20.6
5.06.1971;19.3
6.06.1971;16.5
7.06.1971;20.7
8.06.1971;18
9.06.1971;17.8
10.06.1971;18.2
11.06.1971;19.1
12.06.1971;15.1
13.06.1971;18.4
14.06.1971;17
15.06.1971;21.1
