Region;Dinarides
Country;Bosnia and Herzegovina
#;1
Spring Name/Station Name;Vrelo Bosne
Literature;
Lat;43.827
Lon;18.271
Elev (m);497
Recharge Area (km2);
Start Date;1.01.2007
End Date;31.12.2019
Resolution;Daily
Data Source;HIDROLOŠKI GODIŠNJAK, https://www.fhmzbih.gov.ba/latinica/HIDRO/godisnjaci.php#
Data License;Open data for scientific purposes
Contact For License;Bosnian Federal Hydrometeorology Service
Spring ID;DIN_01_BA
Date;Discharge m^3/s
27.09.2007;1.38
28.09.2007;1.61
29.09.2007;3.62
30.09.2007;2.39
1.10.2007;1.63
2.10.2007;1.55
3.10.2007;1.51
4.10.2007;1.45
5.10.2007;1.42
6.10.2007;1.39
7.10.2007;1.41
8.10.2007;2.41
9.10.2007;1.87
10.10.2007;1.58
11.10.2007;2.21
12.10.2007;3.65
13.10.2007;3.5
14.10.2007;3.63
15.10.2007;2.8
16.10.2007;2.1
17.10.2007;1.78
18.10.2007;1.66
19.10.2007;1.64
20.10.2007;1.6
21.10.2007;1.58
22.10.2007;1.59
23.10.2007;1.57
24.10.2007;1.55
25.10.2007;1.68
26.10.2007;2.11
27.10.2007;5.98
28.10.2007;7.85
29.10.2007;8.18
30.10.2007;7.8
31.10.2007;9.9
1.11.2007;18.2
2.11.2007;19
3.11.2007;17
4.11.2007;14.6
5.11.2007;12.7
6.11.2007;11.1
7.11.2007;10.2
8.11.2007;8.61
9.11.2007;7.58
10.11.2007;8.22
11.11.2007;8.56
12.11.2007;7.9
13.11.2007;7.23
14.11.2007;6.69
15.11.2007;6.46
16.11.2007;5.87
17.11.2007;5.21
18.11.2007;5.05
19.11.2007;4.81
20.11.2007;4.46
21.11.2007;4.42
22.11.2007;4.45
23.11.2007;4.49
24.11.2007;6.59
25.11.2007;9.13
26.11.2007;12.8
27.11.2007;15.1
28.11.2007;14.4
29.11.2007;12.6
30.11.2007;11.4
1.12.2007;10.3
2.12.2007;9.2
3.12.2007;8.23
4.12.2007;8.21
5.12.2007;8.19
6.12.2007;7.54
7.12.2007;6.91
8.12.2007;6.53
9.12.2007;6.38
10.12.2007;6.41
11.12.2007;6.33
12.12.2007;6.04
13.12.2007;5.53
14.12.2007;5.07
15.12.2007;4.85
16.12.2007;4.56
17.12.2007;4.23
18.12.2007;4.02
19.12.2007;3.85
20.12.2007;3.67
21.12.2007;3.55
22.12.2007;3.44
23.12.2007;3.37
24.12.2007;3.29
25.12.2007;3.28
26.12.2007;3.24
27.12.2007;3.16
28.12.2007;3.08
29.12.2007;3.02
30.12.2007;2.97
31.12.2007;2.93
1.01.2008;2.94
2.01.2008;2.89
3.01.2008;2.81
4.01.2008;2.71
5.01.2008;2.62
6.01.2008;3.68
7.01.2008;6.18
8.01.2008;6.21
9.01.2008;5.32
10.01.2008;4.26
11.01.2008;3.68
12.01.2008;3.44
13.01.2008;4.14
14.01.2008;4.68
15.01.2008;4.19
16.01.2008;3.75
17.01.2008;3.52
18.01.2008;3.37
19.01.2008;3.59
20.01.2008;3.71
21.01.2008;3.9
22.01.2008;4.09
23.01.2008;3.86
24.01.2008;3.42
25.01.2008;3.18
26.01.2008;3.02
27.01.2008;2.92
28.01.2008;2.91
29.01.2008;2.82
30.01.2008;2.78
31.01.2008;2.75
1.02.2008;2.72
2.02.2008;2.7
3.02.2008;2.67
4.02.2008;2.62
5.02.2008;2.72
6.02.2008;3.05
7.02.2008;3.18
8.02.2008;3.04
9.02.2008;2.95
10.02.2008;2.9
11.02.2008;2.85
12.02.2008;2.77
13.02.2008;2.7
14.02.2008;2.64
15.02.2008;2.61
16.02.2008;2.58
17.02.2008;2.5
18.02.2008;2.43
19.02.2008;2.44
20.02.2008;2.4
21.02.2008;2.38
22.02.2008;2.36
23.02.2008;2.36
24.02.2008;2.39
25.02.2008;2.44
26.02.2008;2.63
27.02.2008;3.24
28.02.2008;3.27
29.02.2008;3.05
1.03.2008;3.31
2.03.2008;4.28
3.03.2008;4.79
4.03.2008;6.01
5.03.2008;7.05
6.03.2008;7.2
7.03.2008;6.26
8.03.2008;5.05
9.03.2008;4.29
10.03.2008;3.89
11.03.2008;3.95
12.03.2008;4.35
13.03.2008;5.55
14.03.2008;5.85
15.03.2008;5.17
16.03.2008;5.5
17.03.2008;7.21
18.03.2008;9.4
19.03.2008;9.57
20.03.2008;8.39
21.03.2008;7.05
22.03.2008;6.12
23.03.2008;8.07
24.03.2008;13.1
25.03.2008;13.3
26.03.2008;11
27.03.2008;9.32
28.03.2008;7.57
29.03.2008;6.38
30.03.2008;6.18
31.03.2008;6.74
1.04.2008;7.31
2.04.2008;7.6
3.04.2008;7.55
4.04.2008;7.02
5.04.2008;6.44
6.04.2008;5.99
7.04.2008;6.06
8.04.2008;6.56
9.04.2008;8.2
10.04.2008;10
11.04.2008;11.9
12.04.2008;13.5
13.04.2008;15.4
14.04.2008;15.8
15.04.2008;15.5
16.04.2008;14.9
17.04.2008;14
18.04.2008;13.3
19.04.2008;13.3
20.04.2008;13.8
21.04.2008;14.3
22.04.2008;14.4
23.04.2008;14.3
24.04.2008;13.9
25.04.2008;13.6
26.04.2008;12.8
27.04.2008;11.7
28.04.2008;10.8
29.04.2008;10.4
30.04.2008;10.1
1.05.2008;9.98
2.05.2008;10
3.05.2008;10.2
4.05.2008;10.1
5.05.2008;9.96
6.05.2008;9.95
7.05.2008;11
8.05.2008;11.4
9.05.2008;11.3
10.05.2008;11.1
11.05.2008;10.9
12.05.2008;10.5
13.05.2008;9.77
14.05.2008;8.97
15.05.2008;8.43
16.05.2008;7.96
17.05.2008;10
18.05.2008;10.4
19.05.2008;8.24
