Region;Zagros
Country;Iraq
#;8
Spring Name/Station Name;Sarchawi Saraw
Literature;Stevanovic (2016)
Lat;35.38
Lon;45.83
Elev (m);515
Recharge Area (km2);
Start Date;1.10.2004
End Date;30.06.2006
Resolution;Daily
Data Source;WOKAS
Data License;CC BY 4.0
Contact For License;Tunde Olarinoye
Spring ID;ZAG_08_IQ
Date;Discharge m^3/s
6.05.2005;1.3856
7.05.2005;1.3859
8.05.2005;1.38299
9.05.2005;1.37767
10.05.2005;1.37313
11.05.2005;1.37175
12.05.2005;1.3723
13.05.2005;1.37232
14.05.2005;1.3723
15.05.2005;1.37228
16.05.2005;1.37187
17.05.2005;1.37299
18.05.2005;1.37307
19.05.2005;1.36507
20.05.2005;1.35799
21.05.2005;1.35867
22.05.2005;1.35709
23.05.2005;1.35145
24.05.2005;1.34632
25.05.2005;1.34591
26.05.2005;1.34555
27.05.2005;1.33705
28.05.2005;1.33046
29.05.2005;1.33151
30.05.2005;1.33376
31.05.2005;1.33013
1.06.2005;1.32068
2.06.2005;1.31728
3.06.2005;1.31868
4.06.2005;1.31844
5.06.2005;1.31949
6.06.2005;1.31867
7.06.2005;1.31
8.06.2005;1.30364
9.06.2005;1.30473
10.06.2005;1.30677
11.06.2005;1.30338
12.06.2005;1.29418
13.06.2005;1.28803
14.06.2005;1.28448
15.06.2005;1.27982
16.06.2005;1.27756
17.06.2005;1.27832
18.06.2005;1.27916
19.06.2005;1.27671
20.06.2005;1.27208
21.06.2005;1.27084
22.06.2005;1.27197
23.06.2005;1.27212
24.06.2005;1.26902
25.06.2005;1.26424
26.06.2005;1.26008
27.06.2005;1.25534
28.06.2005;1.25147
29.06.2005;1.25112
30.06.2005;1.25152
1.07.2005;1.25143
2.07.2005;1.25217
3.07.2005;1.25044
4.07.2005;1.24569
5.07.2005;1.24418
6.07.2005;1.24479
7.07.2005;1.24179
8.07.2005;1.22989
9.07.2005;1.21783
10.07.2005;1.21795
11.07.2005;1.21514
12.07.2005;1.2054
13.07.2005;1.20125
14.07.2005;1.19462
15.07.2005;1.18082
16.07.2005;1.17223
17.07.2005;1.17114
18.07.2005;1.17207
19.07.2005;1.16655
20.07.2005;1.15732
21.07.2005;1.15272
22.07.2005;1.14869
23.07.2005;1.14437
24.07.2005;1.14406
25.07.2005;1.14352
26.07.2005;1.13897
27.07.2005;1.13196
28.07.2005;1.12184
29.07.2005;1.10873
30.07.2005;1.09699
31.07.2005;1.08296
1.08.2005;1.06123
2.08.2005;1.04246
3.08.2005;1.03101
4.08.2005;1.02039
5.08.2005;1.00294
6.08.2005;0.980565
7.08.2005;0.96806
8.08.2005;0.961539
9.08.2005;0.952711
10.08.2005;0.945494
11.08.2005;0.942829
12.08.2005;0.943639
13.08.2005;0.940077
14.08.2005;0.93034
15.08.2005;0.920264
16.08.2005;0.914989
17.08.2005;0.917237
18.08.2005;0.914968
19.08.2005;0.906475
20.08.2005;0.895831
21.08.2005;0.888953
22.08.2005;0.888987
23.08.2005;0.887996
24.08.2005;0.882878
25.08.2005;0.877595
26.08.2005;0.875542
27.08.2005;0.875941
28.08.2005;0.873185
29.08.2005;0.867823
30.08.2005;0.863223
31.08.2005;0.861922
1.09.2005;0.862316
2.09.2005;0.859721
3.09.2005;0.8489
4.09.2005;0.835959
5.09.2005;0.833964
6.09.2005;0.835876
7.09.2005;0.83552
8.09.2005;0.835889
9.09.2005;0.834905
10.09.2005;0.830497
11.09.2005;0.82575
12.09.2005;0.82171
13.09.2005;0.81761
14.09.2005;0.812658
15.09.2005;0.808735
16.09.2005;0.808649
17.09.2005;0.807882
18.09.2005;0.803164
19.09.2005;0.795716
20.09.2005;0.785949
21.09.2005;0.776645
22.09.2005;0.775037
23.09.2005;0.77467
24.09.2005;0.766169
25.09.2005;0.757961
26.09.2005;0.754994
27.09.2005;0.755298
28.09.2005;0.753878
29.09.2005;0.749147
30.09.2005;0.74458
1.10.2005;0.740497
2.10.2005;0.736208
3.10.2005;0.731902
4.10.2005;0.727642
5.10.2005;0.723369
6.10.2005;0.719088
7.10.2005;0.714817
8.10.2005;0.710557
9.10.2005;0.706242
10.10.2005;0.701968
11.10.2005;0.697903
12.10.2005;0.693214
13.10.2005;0.688609
14.10.2005;0.687767
15.10.2005;0.68765
16.10.2005;0.683613
17.10.2005;0.678177
18.10.2005;0.674477
19.10.2005;0.674105
20.10.2005;0.674508
21.10.2005;0.674411
22.10.2005;0.674913
23.10.2005;0.673775
24.10.2005;0.669374
25.10.2005;0.663826
26.10.2005;0.660962
27.10.2005;0.66171
28.10.2005;0.657741
29.10.2005;0.647626
30.10.2005;0.637336
31.10.2005;0.633927
1.11.2005;0.634611
2.11.2005;0.627493
3.11.2005;0.618862
